name,age,size,color,breed
Yvrybrn,11,64,blue,Ukrainian Ironbelly
Jdu,0,22,blue,Ukrainian Ironbelly
Fkelsao,19,32,red,Common Welsh Green
Glvg,12,26,red,Romanian Longhorn
Wfats,13,30,black,Hungarian Horntail
Tik,8,41,red,Antipodean Opaleye
Obbpww,1,57,black,Romanian Longhorn
Wyp,6,62,blue,Chinese Fireball
Inysaw,2,54,blue,Antipodean Opaleye
Ckyaypn,6,99,blue,Peruvian Vipertooth
Jife,4,6,white,Swedish Short-Snout
Rhlaisq,6,21,white,Ukrainian Ironbelly
Ldrhfefp,12,66,blue,Antipodean Opaleye
Jdflawa,0,36,red,Hungarian Horntail
Klp,12,76,black,Ukrainian Ironbelly
Whqjltg,5,81,white,Norwegian Ridgeback
Hdtnjco,14,7,white,Romanian Longhorn
Amdtdeyu,3,54,red,Romanian Longhorn
Kqifi,11,98,white,Antipodean Opaleye
Fcwr,3,42,red,Ukrainian Ironbelly
Leupqaa,9,40,white,Hebridean Black
Fih,11,83,white,Antipodean Opaleye
Pdmwrmq,4,42,black,Chinese Fireball
Kelqf,17,16,red,Peruvian Vipertooth
Pegguhys,8,65,black,Swedish Short-Snout
Bbpd,6,44,black,Hungarian Horntail
Bctqfwi,4,77,white,Hebridean Black
Bjrwhpr,7,13,black,Peruvian Vipertooth
Ljipkp,5,98,red,Hungarian Horntail
Xbk,17,79,blue,Hungarian Horntail
Vjgaru,0,6,white,Common Welsh Green
Wxlccc,17,11,white,Swedish Short-Snout
Sjcr,12,27,white,Romanian Longhorn
Dhrpnqq,5,38,white,Chinese Fireball
Mhriyr,9,0,blue,Hebridean Black
Vrx,9,96,black,Ukrainian Ironbelly
Lkeq,7,82,red,Peruvian Vipertooth
Oqgx,19,93,blue,Common Welsh Green
Ckbwf,0,39,blue,Common Welsh Green
Cbxkddm,18,26,blue,Norwegian Ridgeback
Nioaq,3,78,red,Romanian Longhorn
Wxbyxnb,8,32,black,Romanian Longhorn
Vsturhn,7,40,white,Peruvian Vipertooth
Vyepv,2,9,blue,Common Welsh Green
Kfwhskwi,15,1,black,Chinese Fireball
Xak,16,96,white,Swedish Short-Snout
Nvwxc,2,21,white,Hungarian Horntail
Ylgbtj,15,86,white,Swedish Short-Snout
Huxuer,2,29,black,Antipodean Opaleye
Okncmoht,15,46,white,Norwegian Ridgeback
Qcb,0,48,red,Norwegian Ridgeback
Yor,3,91,blue,Peruvian Vipertooth
Bkacx,17,5,blue,Romanian Longhorn
Kkh,6,51,red,Chinese Fireball
Vpthpwue,16,98,black,Antipodean Opaleye
Gqp,0,3,black,Common Welsh Green
Drjn,9,44,blue,Chinese Fireball
Fjt,5,35,black,Chinese Fireball
Dvquoklm,15,14,black,Common Welsh Green
Xunwjrl,6,11,black,Chinese Fireball
Vnpta,12,76,white,Hebridean Black
Dklu,10,48,white,Norwegian Ridgeback
Xbq,10,96,black,Romanian Longhorn
Aebhi,7,32,blue,Hebridean Black
Laewuo,7,69,black,Romanian Longhorn
Sis,5,82,black,Chinese Fireball
Qtrhoxub,11,36,white,Hungarian Horntail
Hxvvk,14,44,blue,Peruvian Vipertooth
Rhduwog,14,49,white,Common Welsh Green
Pca,10,100,blue,Peruvian Vipertooth
Irllwoht,2,51,red,Hebridean Black
Ceck,6,70,red,Antipodean Opaleye
Ayg,2,36,white,Peruvian Vipertooth
Tofhebcd,11,93,red,Chinese Fireball
Auwt,15,20,red,Chinese Fireball
Beewbx,18,66,blue,Romanian Longhorn
Rbenrdu,15,63,red,Chinese Fireball
Dvh,6,14,white,Hebridean Black
Kujg,19,90,blue,Norwegian Ridgeback
Vhjubfmd,14,55,white,Romanian Longhorn
Wwj,0,88,black,Peruvian Vipertooth
Rcchy,4,79,black,Ukrainian Ironbelly
Khacjrr,15,75,white,Ukrainian Ironbelly
Abyua,14,52,blue,Peruvian Vipertooth
Yaxb,6,81,blue,Norwegian Ridgeback
Oxobw,2,81,red,Ukrainian Ironbelly
Nbwwoafo,7,78,black,Chinese Fireball
Qtyqv,5,23,blue,Romanian Longhorn
Xxrgax,18,90,red,Antipodean Opaleye
Kduhob,17,76,blue,Chinese Fireball
Ornjtr,15,49,red,Hebridean Black
Iufi,8,41,red,Hungarian Horntail
Oxenc,15,79,black,Romanian Longhorn
Edren,5,92,red,Hungarian Horntail
Apxkadhu,15,0,blue,Romanian Longhorn
Iki,11,6,black,Antipodean Opaleye
Qqlmp,19,6,red,Ukrainian Ironbelly
Dhobqsy,12,53,black,Common Welsh Green
Olofkcss,3,65,red,Romanian Longhorn
Hggb,12,16,white,Peruvian Vipertooth
Uqbcf,13,99,blue,Hungarian Horntail
Xbec,18,65,white,Romanian Longhorn
Ghccjeps,15,53,white,Ukrainian Ironbelly
Qes,0,84,blue,Hebridean Black
Dhjkhmd,16,73,black,Swedish Short-Snout
Sikbtfj,8,57,white,Peruvian Vipertooth
Jckbm,4,64,black,Romanian Longhorn
Ycqgt,11,39,white,Swedish Short-Snout
Dykiapye,7,66,black,Common Welsh Green
Ckpdrk,14,50,black,Romanian Longhorn
Mirq,4,94,black,Swedish Short-Snout
Avfi,8,45,black,Ukrainian Ironbelly
Doruroy,11,42,blue,Norwegian Ridgeback
Unsxa,1,60,black,Peruvian Vipertooth
Uqqfc,13,8,white,Peruvian Vipertooth
Mqu,9,25,red,Common Welsh Green
Werfi,10,89,white,Common Welsh Green
Dwbeblb,7,82,blue,Romanian Longhorn
Eqom,9,80,red,Antipodean Opaleye
Llrrusn,17,68,red,Hungarian Horntail
Ykgdmo,3,15,white,Antipodean Opaleye
Pyiibjm,12,90,white,Ukrainian Ironbelly
Gvsxvs,14,27,red,Peruvian Vipertooth
Vfyy,12,47,black,Hungarian Horntail
Chlmqm,18,16,white,Romanian Longhorn
Mxwve,12,76,white,Chinese Fireball
Iiarr,5,41,blue,Common Welsh Green
Civyh,6,56,black,Antipodean Opaleye
Vvheqvmn,11,99,black,Romanian Longhorn
Kbvubku,19,9,red,Romanian Longhorn
Pvgawym,10,70,blue,Ukrainian Ironbelly
Est,20,1,white,Norwegian Ridgeback
Srbxcd,1,9,red,Hungarian Horntail
Yeyo,11,7,white,Romanian Longhorn
Enjqmwbs,0,84,white,Peruvian Vipertooth
Hlbd,5,98,red,Peruvian Vipertooth
Rlbhflf,7,71,blue,Hungarian Horntail
Jxlejgrq,20,44,black,Chinese Fireball
Userhas,2,85,blue,Common Welsh Green
Aadscny,11,7,white,Hungarian Horntail
Uexvb,14,42,white,Norwegian Ridgeback
Uqflxcbk,10,28,red,Hungarian Horntail
Gumsy,4,34,black,Chinese Fireball
Eytnss,2,49,red,Antipodean Opaleye
Bvauxwc,6,19,red,Swedish Short-Snout
Glesunjf,5,66,black,Hebridean Black
Esaoyb,7,64,white,Antipodean Opaleye
Ecta,11,86,black,Hungarian Horntail
Vcmp,1,5,blue,Ukrainian Ironbelly
Sovw,15,62,blue,Hebridean Black
Ooytpvv,6,67,red,Swedish Short-Snout
Txc,5,54,white,Hungarian Horntail
Hmpnm,5,30,blue,Norwegian Ridgeback
Ovj,11,85,white,Hungarian Horntail
Gepy,8,82,red,Common Welsh Green
Giugsq,3,49,red,Chinese Fireball
Dcm,20,37,white,Peruvian Vipertooth
Dfavk,10,31,black,Romanian Longhorn
Lmqokj,14,34,black,Hungarian Horntail
Mpkw,17,1,red,Hungarian Horntail
Meicaj,7,84,black,Peruvian Vipertooth
Wcquj,7,88,black,Hungarian Horntail
Wyyoc,12,4,blue,Swedish Short-Snout
Pkmkqj,7,53,black,Antipodean Opaleye
Eqs,12,18,black,Chinese Fireball
Xhpttcs,10,16,red,Chinese Fireball
Drx,6,10,white,Peruvian Vipertooth
Nrstii,19,83,blue,Swedish Short-Snout
Isy,12,47,black,Hungarian Horntail
Cqgpko,18,45,black,Chinese Fireball
Ghjm,20,29,black,Antipodean Opaleye
Eiabmign,19,71,white,Ukrainian Ironbelly
Ropb,6,96,blue,Antipodean Opaleye
Ibsjgm,13,81,white,Peruvian Vipertooth
Euj,1,78,black,Hebridean Black
Thxn,2,61,black,Hebridean Black
Guhxgrvf,14,94,red,Peruvian Vipertooth
Cgdtjh,20,94,black,Norwegian Ridgeback
Mbjpajy,9,13,blue,Norwegian Ridgeback
Cxhttsgv,20,68,white,Hebridean Black
Jseng,14,14,red,Antipodean Opaleye
Ofyvsj,20,53,red,Common Welsh Green
Dgl,3,42,white,Hungarian Horntail
Twyg,7,82,red,Common Welsh Green
Viuxsbi,9,4,red,Swedish Short-Snout
Vsmmnl,5,16,blue,Peruvian Vipertooth
Vcy,0,59,black,Hebridean Black
Ljyec,9,44,black,Antipodean Opaleye
Makraxxs,7,98,white,Peruvian Vipertooth
Wgu,20,25,blue,Romanian Longhorn
Ljylqsn,17,28,blue,Antipodean Opaleye
Noe,2,85,black,Peruvian Vipertooth
Ghoqt,6,90,red,Common Welsh Green
Odnjllum,0,54,white,Antipodean Opaleye
Vrdcwbk,19,60,white,Antipodean Opaleye
Ovra,0,78,white,Common Welsh Green
Esyqrd,5,18,black,Peruvian Vipertooth
Spyrep,9,69,red,Common Welsh Green
Ahlvqq,11,75,red,Hebridean Black
Dnarkox,14,96,white,Chinese Fireball
Qpoxjfuk,4,75,blue,Peruvian Vipertooth
Duupe,1,71,white,Norwegian Ridgeback
Kkci,10,95,white,Romanian Longhorn
Ylvoe,7,86,black,Ukrainian Ironbelly
Dveetgi,6,35,black,Ukrainian Ironbelly
Qgcwrru,5,43,blue,Chinese Fireball
Gqequywk,2,72,white,Swedish Short-Snout
Tlvh,11,20,black,Peruvian Vipertooth
Vcia,15,42,red,Chinese Fireball
Awqf,19,8,red,Ukrainian Ironbelly
Mye,3,87,black,Peruvian Vipertooth
Msou,0,21,blue,Chinese Fireball
Ylw,3,87,white,Ukrainian Ironbelly
Yxgt,10,73,blue,Romanian Longhorn
Emqax,1,32,blue,Romanian Longhorn
Xtyrq,9,28,black,Norwegian Ridgeback
Gpnvrw,9,1,white,Norwegian Ridgeback
Cdl,10,97,black,Chinese Fireball
Nxbqryas,15,61,black,Hebridean Black
Tjyfqeh,8,62,black,Antipodean Opaleye
Aokhewo,11,8,blue,Hebridean Black
Yuh,12,42,black,Peruvian Vipertooth
Wugx,13,41,white,Chinese Fireball
Yeyb,9,88,blue,Antipodean Opaleye
Unsffve,13,88,white,Swedish Short-Snout
Kkpca,5,0,blue,Romanian Longhorn
Djiijmeu,8,38,blue,Romanian Longhorn
Ooslhcwv,7,9,black,Chinese Fireball
Dfijhou,7,58,black,Hungarian Horntail
Acekyu,9,46,black,Romanian Longhorn
Mvin,2,93,red,Swedish Short-Snout
Ssb,11,44,blue,Hungarian Horntail
Osnfsc,5,77,white,Hungarian Horntail
Yythtm,15,70,black,Antipodean Opaleye
Skp,16,37,white,Hungarian Horntail
Hbqkk,18,72,red,Hebridean Black
Uexlwvw,13,27,blue,Antipodean Opaleye
Pudlwh,11,7,blue,Ukrainian Ironbelly
Xyfo,19,69,white,Chinese Fireball
Ikvrddf,8,96,white,Hebridean Black
Xalc,19,81,red,Peruvian Vipertooth
Yuv,19,88,white,Ukrainian Ironbelly
Hvxcvbj,2,80,red,Norwegian Ridgeback
Wacmc,10,88,black,Norwegian Ridgeback
Sfmtblmg,20,75,blue,Antipodean Opaleye
Wpsgbeqq,16,77,black,Peruvian Vipertooth
Yianlu,4,82,white,Romanian Longhorn
Rsipgc,10,7,black,Antipodean Opaleye
Qxbiuwmv,2,32,black,Chinese Fireball
Cdlyou,6,61,black,Norwegian Ridgeback
Otcfhale,7,6,black,Antipodean Opaleye
Ceqe,19,84,blue,Swedish Short-Snout
Lqfndek,10,43,red,Norwegian Ridgeback
Qybyg,3,36,white,Chinese Fireball
Kdja,6,73,blue,Antipodean Opaleye
Atwqk,15,20,white,Norwegian Ridgeback
Qnpx,9,65,red,Hungarian Horntail
Lbvaosm,4,66,black,Chinese Fireball
Vtjm,19,79,red,Hungarian Horntail
Ljsj,17,99,white,Common Welsh Green
Tyl,18,33,black,Ukrainian Ironbelly
Uonxm,14,19,black,Swedish Short-Snout
Qgcjkoc,18,76,blue,Common Welsh Green
Nmwi,7,58,red,Ukrainian Ironbelly
Ovaquhi,10,74,blue,Antipodean Opaleye
Uifvt,13,37,white,Hebridean Black
Wuuynqod,4,37,white,Swedish Short-Snout
Rpq,19,42,blue,Hungarian Horntail
Jxhw,14,90,white,Hebridean Black
Bsvjqy,17,77,red,Chinese Fireball
Ftemb,2,41,red,Peruvian Vipertooth
Kgq,19,99,red,Romanian Longhorn
Iben,18,19,red,Norwegian Ridgeback
Cckpawhl,5,0,blue,Ukrainian Ironbelly
Pvklbx,13,57,white,Chinese Fireball
Ijkl,16,29,red,Common Welsh Green
Vhpbuv,0,32,white,Peruvian Vipertooth
Rwv,0,36,red,Romanian Longhorn
Pgnqep,17,65,white,Hungarian Horntail
Yiyyuyk,16,44,black,Chinese Fireball
Fqlqmss,8,18,red,Hungarian Horntail
Brlbvoy,9,86,white,Chinese Fireball
Ufmra,12,38,black,Hungarian Horntail
Gwc,20,47,white,Hebridean Black
Xwhrxv,0,55,black,Norwegian Ridgeback
Gaiqmk,16,43,black,Swedish Short-Snout
Bpwta,13,95,blue,Hungarian Horntail
Ifpeheh,3,7,red,Romanian Longhorn
Yyrfkanb,20,0,blue,Romanian Longhorn
Wwqiwp,15,24,white,Antipodean Opaleye
Gxn,17,77,red,Ukrainian Ironbelly
Vumnpwd,3,32,black,Hebridean Black
Crie,2,82,blue,Antipodean Opaleye
Icq,13,27,white,Chinese Fireball
Kjof,5,33,blue,Peruvian Vipertooth
Lvjx,17,33,blue,Common Welsh Green
Mll,19,58,white,Hungarian Horntail
Fttpx,17,18,black,Common Welsh Green
Yqx,1,49,black,Romanian Longhorn
Luhfwltw,6,71,white,Norwegian Ridgeback
Ndvpowl,20,34,white,Hungarian Horntail
Fhidn,6,33,blue,Hungarian Horntail
Icxugky,0,44,black,Peruvian Vipertooth
Avmdswpx,2,89,black,Common Welsh Green
Yapks,3,22,white,Hungarian Horntail
Ohiybc,15,9,red,Ukrainian Ironbelly
Aavxexbt,15,3,white,Antipodean Opaleye
Kcjfi,17,44,blue,Ukrainian Ironbelly
Nluawq,0,82,red,Hebridean Black
Rsjyq,1,98,black,Antipodean Opaleye
Ftku,18,100,black,Swedish Short-Snout
Uhslehn,4,34,black,Romanian Longhorn
Cxsrvq,16,95,black,Norwegian Ridgeback
Eya,2,70,blue,Hungarian Horntail
Vbalpg,2,60,blue,Hebridean Black
Teo,9,82,blue,Norwegian Ridgeback
Ncuf,7,58,white,Hungarian Horntail
Bgjixxww,5,62,white,Peruvian Vipertooth
Tvct,18,52,black,Common Welsh Green
Kphbo,5,29,black,Common Welsh Green
Ddeshkw,1,49,blue,Chinese Fireball
Rgumchbs,1,53,white,Hebridean Black
Jsaycxaf,14,43,red,Chinese Fireball
Iwbs,17,27,blue,Peruvian Vipertooth
Gsotx,18,75,blue,Common Welsh Green
Lvuqbgdv,11,2,red,Hebridean Black
Bhg,20,82,white,Chinese Fireball
Ohsil,4,53,black,Hungarian Horntail
Slciygy,11,39,black,Hebridean Black
Ikrc,20,50,blue,Hungarian Horntail
Cbgta,15,83,black,Hebridean Black
Nfdt,17,28,black,Chinese Fireball
Rqtki,15,14,red,Swedish Short-Snout
Acwprn,18,72,white,Peruvian Vipertooth
Wlgru,18,22,red,Peruvian Vipertooth
Uegnrg,8,66,blue,Antipodean Opaleye
Jucpcir,5,46,white,Chinese Fireball
Qlfwdkcp,2,2,white,Common Welsh Green
Yfcs,1,34,blue,Romanian Longhorn
Uyb,4,59,black,Common Welsh Green
Vxghetu,7,56,blue,Antipodean Opaleye
Ywbbbg,19,45,white,Swedish Short-Snout
Qsjubb,7,0,red,Norwegian Ridgeback
Sanku,11,86,red,Common Welsh Green
Lxjimqa,4,74,white,Common Welsh Green
Phdbmij,15,2,white,Hungarian Horntail
Luvibji,17,68,blue,Common Welsh Green
Wxcnura,6,20,black,Peruvian Vipertooth
Irktp,8,53,black,Hebridean Black
Rafbbiw,15,0,black,Hungarian Horntail
Tdsmtxay,2,27,blue,Ukrainian Ironbelly
Ogitwhf,19,48,red,Hungarian Horntail
Pgekhdd,7,32,red,Peruvian Vipertooth
Dgglvrj,15,98,blue,Ukrainian Ironbelly
Grtkse,15,12,red,Norwegian Ridgeback
Ppj,12,45,red,Hungarian Horntail
Etflgiyi,1,2,white,Romanian Longhorn
Jxwydidl,2,32,blue,Hungarian Horntail
Xyudx,13,67,red,Antipodean Opaleye
Qsctaqg,19,94,blue,Romanian Longhorn
Wuw,13,64,red,Romanian Longhorn
Ruenhun,14,97,red,Romanian Longhorn
Ipj,3,83,blue,Hebridean Black
Qhlertxl,11,71,blue,Romanian Longhorn
Hvmvvp,6,93,red,Antipodean Opaleye
Cyb,3,23,white,Hebridean Black
Qsrnamk,10,51,black,Ukrainian Ironbelly
Toeqk,18,44,blue,Romanian Longhorn
Mlxgwix,12,18,blue,Ukrainian Ironbelly
Lytyak,14,63,black,Antipodean Opaleye
Gpwd,10,40,red,Peruvian Vipertooth
Eoox,2,57,black,Chinese Fireball
Eflhfnug,17,72,black,Common Welsh Green
Nci,6,93,blue,Antipodean Opaleye
Tykoue,15,58,white,Antipodean Opaleye
Jjbmnxg,6,85,blue,Common Welsh Green
Dxkluve,4,58,black,Antipodean Opaleye
Ntgi,9,61,black,Peruvian Vipertooth
Rdcak,1,54,white,Ukrainian Ironbelly
Pkeadieu,15,18,blue,Peruvian Vipertooth
Juuwjniu,7,99,red,Antipodean Opaleye
Emcrwoud,17,33,black,Hungarian Horntail
Mwyteotq,15,2,black,Peruvian Vipertooth
Tbn,17,69,black,Chinese Fireball
Tbdoli,19,35,white,Common Welsh Green
Xxy,17,44,black,Peruvian Vipertooth
Iiwx,12,86,red,Ukrainian Ironbelly
Caksc,4,49,white,Peruvian Vipertooth
Jbyffme,6,72,black,Norwegian Ridgeback
Vsgsjy,17,18,black,Hebridean Black
Rbj,15,82,red,Hebridean Black
Orljnv,19,80,white,Chinese Fireball
Rmxxprt,12,15,red,Swedish Short-Snout
Qmkhdgtm,2,41,black,Romanian Longhorn
Abxgtvy,0,75,white,Antipodean Opaleye
Dyqdgvk,6,82,red,Romanian Longhorn
Yveqje,5,72,blue,Romanian Longhorn
Neopb,7,20,black,Chinese Fireball
Seysws,18,86,red,Hebridean Black
Mwoh,4,78,red,Swedish Short-Snout
Rkovh,6,78,black,Hebridean Black
Fakvd,15,85,red,Common Welsh Green
Bes,7,8,red,Hungarian Horntail
Cxk,19,55,white,Swedish Short-Snout
Nyipramb,20,100,white,Hebridean Black
Dlfv,9,89,red,Ukrainian Ironbelly
Dlpcouom,4,27,black,Antipodean Opaleye
Wmootr,9,61,red,Ukrainian Ironbelly
Pwec,3,56,blue,Chinese Fireball
Jmiysx,16,14,black,Norwegian Ridgeback
Ucnyr,17,89,red,Antipodean Opaleye
Eqoy,14,54,white,Hungarian Horntail
Xmtygiw,17,49,black,Chinese Fireball
Wsckf,19,23,blue,Norwegian Ridgeback
Dedkb,5,15,black,Hebridean Black
Swfiib,7,72,black,Common Welsh Green
Cxqqck,19,62,black,Hebridean Black
Jeb,16,91,blue,Norwegian Ridgeback
Ycxw,3,63,red,Hungarian Horntail
Pofjkprq,6,58,red,Romanian Longhorn
Uydunvh,19,38,white,Hungarian Horntail
Vau,6,15,black,Hungarian Horntail
Htqonp,18,9,blue,Norwegian Ridgeback
Wbbkifsx,10,47,black,Common Welsh Green
Cdhbiyo,7,7,red,Romanian Longhorn
Onisqokr,6,98,blue,Romanian Longhorn
Aqjwd,18,7,red,Hungarian Horntail
Redg,18,5,white,Norwegian Ridgeback
Hcaivb,1,12,white,Chinese Fireball
Bji,3,30,black,Ukrainian Ironbelly
Qml,19,57,red,Swedish Short-Snout
Evhmsj,7,75,white,Ukrainian Ironbelly
Yfmlfx,19,46,black,Romanian Longhorn
Srkhbn,2,38,red,Romanian Longhorn
Sjx,13,62,red,Romanian Longhorn
Tohe,8,85,red,Antipodean Opaleye
Muopkoue,11,75,blue,Peruvian Vipertooth
Jplbbk,16,41,black,Ukrainian Ironbelly
Pwoqm,7,2,blue,Hebridean Black
Ipnstk,1,70,black,Hungarian Horntail
Eyam,18,73,black,Ukrainian Ironbelly
Ikpqjd,3,43,blue,Norwegian Ridgeback
Mrgllecy,4,31,black,Chinese Fireball
Vibx,0,97,white,Hebridean Black
Nmkqhfb,8,69,blue,Common Welsh Green
Eyos,14,89,blue,Chinese Fireball
Ahtpbpy,15,30,black,Peruvian Vipertooth
Pkriym,20,20,red,Hebridean Black
Rsiqg,17,68,black,Norwegian Ridgeback
Pbg,3,82,blue,Antipodean Opaleye
Tyd,15,79,blue,Norwegian Ridgeback
Kvge,15,96,red,Hebridean Black
Djbpp,17,85,black,Peruvian Vipertooth
Lmabhg,8,44,white,Hebridean Black
Idfnp,4,56,blue,Antipodean Opaleye
Afbryas,10,60,blue,Romanian Longhorn
Gtayft,4,89,red,Swedish Short-Snout
Uqdpao,20,45,white,Ukrainian Ironbelly
Lhsexu,6,66,black,Norwegian Ridgeback
Njul,13,22,black,Antipodean Opaleye
Cljlwfe,6,13,black,Hungarian Horntail
Mlr,0,61,blue,Antipodean Opaleye
Jieyb,5,9,white,Norwegian Ridgeback
Dxvvot,6,40,red,Hebridean Black
Gmcprc,6,69,red,Antipodean Opaleye
Jmln,5,40,blue,Hebridean Black
Bvy,8,95,red,Hebridean Black
Dxp,16,20,white,Hungarian Horntail
Vfn,15,71,blue,Swedish Short-Snout
Pkjxs,6,2,black,Chinese Fireball
Nrtatw,9,6,red,Chinese Fireball
Lvxk,11,94,black,Antipodean Opaleye
Aimufef,15,44,white,Swedish Short-Snout
Dbdtq,18,17,blue,Hungarian Horntail
Hjqp,16,31,red,Antipodean Opaleye
Mexcxyd,14,55,white,Swedish Short-Snout
Wvqpcw,11,1,white,Norwegian Ridgeback
Gta,3,11,blue,Chinese Fireball
Fheed,2,9,blue,Ukrainian Ironbelly
Bqwlkk,2,18,blue,Chinese Fireball
Kdwhh,12,36,white,Peruvian Vipertooth
Lseeu,12,71,red,Peruvian Vipertooth
Igraqom,1,15,white,Ukrainian Ironbelly
Ghcd,9,37,white,Common Welsh Green
Bmlkw,8,48,white,Common Welsh Green
Migeiswh,20,66,blue,Romanian Longhorn
Qryikglg,14,66,black,Hungarian Horntail
Dbuwfw,12,71,white,Common Welsh Green
Qqwd,18,77,red,Antipodean Opaleye
Upicql,20,57,blue,Norwegian Ridgeback
Qpspw,13,45,red,Antipodean Opaleye
Kkhviga,5,2,black,Swedish Short-Snout
Oxtfuu,13,54,red,Swedish Short-Snout
Lvrreuhu,7,81,white,Ukrainian Ironbelly
Kyea,9,6,blue,Chinese Fireball
Kxcxw,8,1,red,Norwegian Ridgeback
Uldfwpyk,10,23,red,Hungarian Horntail
Htjrdkbc,7,31,black,Ukrainian Ironbelly
Beqbldvq,9,57,black,Peruvian Vipertooth
Oupsa,4,3,black,Norwegian Ridgeback
Aevv,12,30,black,Common Welsh Green
Iev,9,67,red,Norwegian Ridgeback
Ytq,13,79,blue,Peruvian Vipertooth
Tqygx,1,0,blue,Hebridean Black
Dpigcqtm,3,8,black,Swedish Short-Snout
Sygj,7,17,blue,Chinese Fireball
Oarjdup,12,93,red,Romanian Longhorn
Blo,11,65,blue,Swedish Short-Snout
Wvp,1,87,red,Antipodean Opaleye
Eayjim,2,42,red,Ukrainian Ironbelly
Udxmaxq,9,60,white,Norwegian Ridgeback
Uynjx,8,46,red,Ukrainian Ironbelly
Mvjs,14,29,black,Hebridean Black
Vxfy,20,1,black,Peruvian Vipertooth
Iemhf,3,57,black,Hebridean Black
Faulw,5,63,black,Hebridean Black
Jpmpxg,13,57,white,Peruvian Vipertooth
Cfuke,5,36,white,Norwegian Ridgeback
Linllscf,20,40,red,Ukrainian Ironbelly
Jmi,12,89,blue,Hungarian Horntail
Hsvida,6,84,red,Ukrainian Ironbelly
Sry,17,37,black,Hebridean Black
Qlowe,17,0,blue,Peruvian Vipertooth
Tcj,16,64,red,Swedish Short-Snout
Ptj,20,23,white,Peruvian Vipertooth
Bicto,15,22,red,Hungarian Horntail
Retk,18,87,red,Common Welsh Green
Nvk,18,84,blue,Norwegian Ridgeback
Hveptsk,1,47,blue,Romanian Longhorn
Yglxohcj,14,7,red,Peruvian Vipertooth
Mlfkmmm,15,99,white,Antipodean Opaleye
Rupgpxgt,11,36,blue,Peruvian Vipertooth
Akmpnlxf,15,85,black,Norwegian Ridgeback
Mjb,7,16,black,Common Welsh Green
Jpl,2,67,red,Peruvian Vipertooth
Ljrgf,7,18,blue,Hebridean Black
Anoqygr,7,96,black,Peruvian Vipertooth
Bsxeoplu,6,32,blue,Norwegian Ridgeback
Ateq,20,61,red,Hebridean Black
Eprahl,9,1,blue,Peruvian Vipertooth
Ndcdmtu,4,68,red,Antipodean Opaleye
Ujoc,6,100,black,Romanian Longhorn
Hgwy,20,67,white,Antipodean Opaleye
Vbqulp,18,80,blue,Hebridean Black
Fbdc,0,45,blue,Ukrainian Ironbelly
Smbuwcnf,19,6,white,Antipodean Opaleye
Kavgcgoa,6,11,red,Hungarian Horntail
Olxbd,11,62,red,Common Welsh Green
Iadkfi,3,94,blue,Common Welsh Green
Bvuoyyrp,3,45,red,Hungarian Horntail
Fupm,5,81,black,Common Welsh Green
Nmooep,11,0,red,Norwegian Ridgeback
Gblipk,6,32,red,Hebridean Black
Kehysnd,11,90,black,Hungarian Horntail
Btyjgnm,8,37,white,Romanian Longhorn
Xfjqxj,2,28,black,Hebridean Black
Nagohr,6,4,black,Swedish Short-Snout
Rtgxm,14,30,black,Chinese Fireball
Pkd,7,65,red,Hebridean Black
Dyfjmdyp,2,56,blue,Antipodean Opaleye
Hung,14,61,black,Common Welsh Green
Evlaqyj,16,24,red,Hebridean Black
Gedyg,10,72,black,Antipodean Opaleye
Hnhd,17,23,blue,Romanian Longhorn
Irvu,6,65,black,Ukrainian Ironbelly
Nqmddpi,1,97,red,Common Welsh Green
Gcchl,13,15,red,Chinese Fireball
Xugoiro,2,83,white,Chinese Fireball
Bpinea,10,70,red,Peruvian Vipertooth
Farf,7,16,black,Hungarian Horntail
Qgierp,12,54,white,Chinese Fireball
Geg,18,13,blue,Ukrainian Ironbelly
Qhkaoci,14,62,blue,Hungarian Horntail
Laa,14,87,red,Ukrainian Ironbelly
Erxvmbgi,6,86,black,Swedish Short-Snout
Labpqvlu,11,2,white,Chinese Fireball
Jhgfu,17,97,black,Ukrainian Ironbelly
Jyigulxr,17,37,black,Romanian Longhorn
Gbtqyvpq,10,85,white,Common Welsh Green
Dbbvtom,16,28,blue,Norwegian Ridgeback
Jgywp,16,77,white,Romanian Longhorn
Noppq,20,94,red,Chinese Fireball
Unl,16,16,red,Chinese Fireball
Rcbd,15,23,black,Romanian Longhorn
Wmkcwf,3,74,blue,Swedish Short-Snout
Xns,5,76,white,Hungarian Horntail
Pfdpwkvo,0,6,blue,Chinese Fireball
Ptspraty,7,75,black,Hebridean Black
Urbmlrb,2,43,white,Antipodean Opaleye
Sratvw,14,10,black,Chinese Fireball
Oiwyny,7,93,white,Romanian Longhorn
Xtyyqox,3,0,red,Chinese Fireball
Gdamud,15,29,blue,Ukrainian Ironbelly
Pjuyb,2,51,black,Peruvian Vipertooth
Ncygome,20,95,blue,Hebridean Black
Nblfqfbf,8,90,red,Romanian Longhorn
Ayosl,10,14,black,Peruvian Vipertooth
Ejjb,11,98,white,Norwegian Ridgeback
Redxthf,13,53,blue,Hebridean Black
Bhdkmr,9,37,red,Antipodean Opaleye
Mhjvq,4,23,red,Common Welsh Green
Wfrtbsv,6,72,red,Hungarian Horntail
Iurkoo,20,33,blue,Norwegian Ridgeback
